Accession #	IMAGE ID	Stop codon	Gene ID	Symbol	Description
BC165997	100066297	with	13239	Defa5	"defensin, alpha, 5"
BC148483	100015418	without	13240	Defa6	"defensin, alpha, 6"
BC153080	100016413	with	13240	Defa6	"defensin, alpha, 6"
BC141592	100014507	without	13221	Defa-rs12	"defensin, alpha, related sequence 12"
BC148757	100015786	with	13221	Defa-rs12	"defensin, alpha, related sequence 12"
BC140445	100014457	without	13226	Defa-rs7	"defensin, alpha, related sequence 7"
BC148704	100015727	with	13226	Defa-rs7	"defensin, alpha, related sequence 7"
BC172616	100069424	without	13176	Dcc	deleted in colorectal carcinoma
BC172723	100069531	with	13176	Dcc	deleted in colorectal carcinoma
BC148334	100015349	without	21673	Dntt	"deoxynucleotidyltransferase, terminal"
BC156690	100062133	with	97998	Deptor	DEP domain containing MTOR-interacting protein
BC156112	100062314	without	13363	Dhh	desert hedgehog
BC156905	100062781	with	13363	Dhh	desert hedgehog
BC166007	100066307	with	13507	Dsc3	desmocollin 3
BC146377	100015097	without	211924	Dsg1c	desmoglein 1 gamma
BC156565	100062064	with	211924	Dsg1c	desmoglein 1 gamma
BC166019	100066319	with	16769	Dsg4	desmoglein 4
BC148743	100015831	with	384701	Dub2a	deubiquitinating enzyme 2a
BC146298	100015207	without	384701	Dub2a	deubiquitinating enzyme 2a
BC156718	100062281	with	223843	Dbx2	developing brain homeobox 2
BC140301	100014340	without	56077	Dgke	"diacylglycerol kinase, epsilon"
BC148725	100015756	with	56077	Dgke	"diacylglycerol kinase, epsilon"
BC167201	100068101	with	269060	Dagla	"diacylglycerol lipase, alpha"
BC160217	100063865	with	54004	Diap2	diaphanous homolog 2 (Drosophila)
BC172621	100069429	without	192119	Dicer1	"dicer 1, ribonuclease type III"
BC172735	100069543	with	64451	Dip2a	DIP2 disco-interacting protein 2 homolog A (Drosophila)
BC156797	100062509	with	319446	Dpep2	dipeptidase 2
BC140302	100014352	without	23859	Dlg2	"discs, large homolog 2 (Drosophila)"
BC146460	100015000	with	23859	Dlg2	"discs, large homolog 2 (Drosophila)"
BC148469	100015428	without	13544	Dvl3	"dishevelled 3, dsh homolog (Drosophila)"
BC153065	100016399	with	13544	Dvl3	"dishevelled 3, dsh homolog (Drosophila)"
BC148606	100015602	without	244667	Disc1	disrupted in schizophrenia 1
BC140253	100014285	without	13395	Dlx5	distal-less homeobox 5
BC141628	100014646	with	13395	Dlx5	distal-less homeobox 5
BC160325	100064069	with	13396	Dlx6	distal-less homeobox 6
BC160225	100063873	with	57755	Dnajb7	"DnaJ (Hsp40) homolog, subfamily B, member 7"
BC152724	100015961	without	13195	Ddc	dopa decarboxylase
BC167196	100068096	with	208266	Dot1l	"DOT1-like, histone H3 methyltransferase (S. cerevisiae)"
BC152729	100016021	without	116905	Dph1	DPH1 homolog (S. cerevisiae)
BC160338	100064082	with	654362	Dear1	dual endothelin 1/angiotensin II receptor 1 homolog (rat)
BC166016	100066316	with	99439	Duox1	dual oxidase 1
BC156280	100061649	without	214593	Duox2	dual oxidase 2
BC172692	100069500	with	214593	Duox2	dual oxidase 2
BC148369	100015342	without	71972	Dnmbp	dynamin binding protein
BC156874	100062762	with	71972	Dnmbp	dynamin binding protein
BC152819	100016070	without	432611	Dnaic2	"dynein, axonemal, intermediate chain 2"
BC156579	100062019	with	432611	Dnaic2	"dynein, axonemal, intermediate chain 2"
BC156226	100061567	without	13557	E2f3	E2F transcription factor 3
BC156999	100062850	with	13557	E2f3	E2F transcription factor 3
BC141509	100014496	without	13656	Egr4	early growth response 4
BC160192	100063840	with	14020	Evi5	ecotropic viral integration site 5
BC152799	100016019	without	72090	Entpd8	ectonucleoside triphosphate diphosphohydrolase 8
BC160371	100064115	with	18605	Enpp1	ectonucleotide pyrophosphatase/phosphodiesterase 1
BC156164	100062418	without	238011	Enpp7	ectonucleotide pyrophosphatase/phosphodiesterase 7
BC157003	100062803	with	238011	Enpp7	ectonucleotide pyrophosphatase/phosphodiesterase 7
BC168392	100068361	with	216565	Ehbp1	EH domain binding protein 1
BC172617	100069425	without	111173	Erc1	ELKS/RAB6-interacting/CAST family member 1
BC146435	100015164	without	270162	Elmod1	ELMO domain containing 1
BC153045	100016324	with	270162	Elmod1	ELMO domain containing 1
BC146280	100015169	without	77766	Elp4	elongation protein 4 homolog (S. cerevisiae)
BC160212	100063860	with	13796	Emx1	empty spiracles homolog 1 (Drosophila)
BC141562	100014574	without	13797	Emx2	empty spiracles homolog 2 (Drosophila)
BC156640	100062197	with	19011	Endou	"endonuclease, polyU-specific"
BC156204	100061599	without	78943	Ern1	endoplasmic reticulum (ER) to nucleus signalling 1
BC156947	100063594	with	78943	Ern1	endoplasmic reticulum (ER) to nucleus signalling 1
BC156220	100061590	without	226090	Ermp1	endoplasmic reticulum metallopeptidase 1
BC156968	100063646	with	226090	Ermp1	endoplasmic reticulum metallopeptidase 1
BC172645	100069453	with	13798	En1	engrailed 1
BC146581	100014849	with	13799	En2	engrailed 2
BC141438	100014774	without	13799	En2	engrailed 2
BC172666	100069474	with	14027	Evpl	envoplakin
BC160343	100064087	with	13861	Epx	eosinophil peroxidase
BC140220	100014257	without	93725	Ear10	"eosinophil-associated, ribonuclease A family, member 10"
BC146516	100014952	with	93725	Ear10	"eosinophil-associated, ribonuclease A family, member 10"
BC152970	100016187	without	503845	Ear12	"eosinophil-associated, ribonuclease A family, member 12"
BC156624	100062110	with	503845	Ear12	"eosinophil-associated, ribonuclease A family, member 12"
BC148530	100015544	without	503847	Ear14	"eosinophil-associated, ribonuclease A family, member 14"
BC153123	100016446	with	503847	Ear14	"eosinophil-associated, ribonuclease A family, member 14"
BC148661	100015645	without	53876	Ear3	"eosinophil-associated, ribonuclease A family, member 3"
BC153204	100016570	with	53876	Ear3	"eosinophil-associated, ribonuclease A family, member 3"
BC160331	100064075	with	58521	Eid1	EP300 interacting inhibitor of differentiation 1
BC167214	100068114	with	13840	Epha6	Eph receptor A6
BC167187	100068087	with	13842	Epha8	Eph receptor A8
BC146315	100015221	without	13844	Ephb2	Eph receptor B2
BC156575	100062018	with	13844	Ephb2	Eph receptor B2
BC160329	100064073	with	13639	Efna4	ephrin A4
BC160320	100064064	with	13853	Epm2a	"epilepsy, progressive myoclonic epilepsy, type 2 gene alpha"
BC148560	100015524	without	384214	Ephx4	epoxide hydrolase 4
BC156747	100062226	with	384214	Ephx4	epoxide hydrolase 4
BC168397	100068366	with	67425	Eps8l1	EPS8-like 1
BC167168	100068068	with	13823	Epb4.1l3	erythrocyte protein band 4.1-like 3
BC167246	100068146	with	13982	Esr1	estrogen receptor 1 (alpha)
BC146473	100014979	with	13663	Ei24	etoposide induced 2.4 mRNA
BC140389	100014485	without	13663	Ei24	etoposide induced 2.4 mRNA
BC148751	100015809	with	14008	Etv2	ets variant gene 2
BC146323	100015222	without	14008	Etv2	ets variant gene 2
BC148400	100015299	without	18612	Etv4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"
BC153020	100016259	with	18612	Etv4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"
BC166034	100066334	with	226982	Eif5b	eukaryotic translation initiation factor 5B
BC167234	100068134	with	319955	Ercc6	"excision repair cross-complementing rodent repair deficiency, complementation group 6"
BC141467	100014754	without	74463	Exoc3l2	exocyst complex component 3-like 2
BC148721	100015695	with	74463	Exoc3l2	exocyst complex component 3-like 2
BC156636	100062113	with	57258	Xpo4	exportin 4
BC160218	100063866	with	330361	AW146020	expressed sequence AW146020
BC156046	100062329	without	245555	C77370	expressed sequence C77370
BC156933	100063567	with	245555	C77370	expressed sequence C77370
BC160316	100064060	with	97863	C78339	expressed sequence C78339
BC146432	100015128	without	226016	Fam108b	"family with sequence similarity 108, member B"
BC141450	100014728	without	403088	Fam115e	"family with sequence similarity 115, member E"
BC167198	100068098	with	218236	Fam120a	"family with sequence similarity 120, member A"
BC156816	100062560	with	330577	Fam154b	"family with sequence similarity 154, member B"
BC166035	100066335	with	231863	Fbxl18	F-box and leucine-rich repeat protein 18
BC140313	100014306	without	235612	Fbxw19	F-box and WD-40 domain protein 19
BC146471	100015026	with	235612	Fbxw19	F-box and WD-40 domain protein 19
BC148428	100015387	without	231672	Fbxw8	F-box and WD-40 domain protein 8
BC160262	100063910	with	68628	Fbxw9	F-box and WD-40 domain protein 9
BC146415	100015090	without	50764	Fbxo15	F-box protein 15
BC148854	100015886	with	50764	Fbxo15	F-box protein 15
BC160240	100063888	with	14129	Fcgr1	"Fc receptor, IgG, high affinity I"
BC148640	100015583	without	435653	Fcrlb	Fc receptor-like B
BC156364	100061900	without	223254	Farp1	"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)"
BC152852	100016086	without	14172	Fgf18	fibroblast growth factor 18
BC156769	100062241	with	14172	Fgf18	fibroblast growth factor 18
BC156158	100062417	without	14173	Fgf2	fibroblast growth factor 2
BC156994	100062861	with	14173	Fgf2	fibroblast growth factor 2
BC140268	100014275	without	14177	Fgf6	fibroblast growth factor 6
BC141640	100014661	with	14177	Fgf6	fibroblast growth factor 6
BC148388	100015321	without	244091	Fsd2	fibronectin type III and SPRY domain containing 2
BC153010	100016245	with	244091	Fsd2	fibronectin type III and SPRY domain containing 2
BC156061	100062319	without	319448	Fndc3a	fibronectin type III domain containing 3A
BC172720	100069528	with	68794	Flnc	"filamin C, gamma"
BC140375	100014412	without	14262	Fmo3	flavin containing monooxygenase 3
BC148678	100015660	with	14262	Fmo3	flavin containing monooxygenase 3
BC160291	100064035	with	14255	Flt3	FMS-like tyrosine kinase 3
BC140213	100014268	without	26910	Figla	folliculogenesis specific basic helix-loop-helix
BC141606	100014593	with	26910	Figla	folliculogenesis specific basic helix-loop-helix
BC160375	100064119	with	15376	Foxa2	forkhead box A2
BC152802	100016044	without	15221	Foxd3	forkhead box D3
BC156564	100062040	with	15221	Foxd3	forkhead box D3
BC160319	100064063	with	110805	Foxe1	forkhead box E1
BC156273	100061648	without	17425	Foxk1	forkhead box K1
BC152767	100016015	without	68837	Foxk2	forkhead box K2
BC152908	100016178	without	56458	Foxo1	forkhead box O1
BC166015	100066315	with	56484	Foxo3	forkhead box O3
BC141491	100014769	without	382074	Foxr1	forkhead box R1
BC153177	100016600	with	382074	Foxr1	forkhead box R1
BC152730	100015938	without	55935	Fnbp4	formin binding protein 4
BC156569	100062017	with	55935	Fnbp4	formin binding protein 4
BC148411	100015444	without	57778	Fmnl1	formin-like 1
BC156635	100062196	with	57778	Fmnl1	formin-like 1
BC168411	100068380	with	71409	Fmnl2	formin-like 2
BC140412	100014405	without	14293	Fpr1	formyl peptide receptor 1
BC148696	100015676	with	14293	Fpr1	formyl peptide receptor 1
BC146407	100015089	without	14294	Fpr3	formyl peptide receptor 3
BC148849	100015897	with	14294	Fpr3	formyl peptide receptor 3
BC140376	100014424	without	14365	Fzd3	frizzled homolog 3 (Drosophila)
BC172707	100069515	with	72313	Fryl	furry homolog-like (Drosophila)
BC156092	100062347	without	17281	Fyco1	FYVE and coiled-coil domain containing 1
BC140371	100014373	without	381628	Gpr113	G protein-coupled receptor 113
BC146510	100015047	with	381628	Gpr113	G protein-coupled receptor 113
BC172710	100069518	with	224792	Gpr116	G protein-coupled receptor 116
BC152941	100016195	without	52389	Gpr123	G protein-coupled receptor 123
BC172605	100069413	without	215798	Gpr126	G protein-coupled receptor 126
BC146544	100014899	with	217302	Gpr142	G protein-coupled receptor 142
BC140426	100014490	without	217302	Gpr142	G protein-coupled receptor 142
BC141527	100014534	without	241263	Gpr158	G protein-coupled receptor 158
BC156791	100062508	with	241263	Gpr158	G protein-coupled receptor 158
BC160358	100064102	with	245526	Pgr15l	G protein-coupled receptor 15-like
BC152756	100016025	without	11536	Gpr182	G protein-coupled receptor 182
BC160318	100064062	with	14761	Gpr27	G protein-coupled receptor 27
BC160363	100064107	with	436440	Gpr31b	"G protein-coupled receptor 31, D17Leh66b region"
BC165976	100066276	with	23890	Gpr34	G protein-coupled receptor 34
BC152948	100016196	without	140741	Gpr6	G protein-coupled receptor 6
BC160265	100063913	with	81006	Gpr63	G protein-coupled receptor 63
BC141536	100014547	without	14608	Gpr83	G protein-coupled receptor 83
BC148482	100015406	without	14427	Galr1	galanin receptor 1
BC153078	100016389	with	14427	Galr1	galanin receptor 1
BC172741	100069549	with	14427	Galr1	galanin receptor 1
BC140309	100014353	without	232836	Galp	galanin-like peptide
BC148726	100015768	with	232836	Galp	galanin-like peptide
BC148598	100015601	without	14402	Gabrb3	"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3"
BC153159	100016561	with	14402	Gabrb3	"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3"
BC148535	100015509	without	14407	Gabrg3	"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3"
BC156087	100062382	without	242425	Gabbr2	"gamma-aminobutyric acid (GABA) B receptor, 2"
BC156988	100062836	with	242425	Gabbr2	"gamma-aminobutyric acid (GABA) B receptor, 2"
BC141453	100014764	without	14610	Gja10	"gap junction protein, alpha 10"
BC148712	100015682	with	14610	Gja10	"gap junction protein, alpha 10"
BC156300	100061729	without	353155	Gjd3	"gap junction protein, delta 3"
BC172680	100069488	with	353155	Gjd3	"gap junction protein, delta 3"
BC140388	100014473	without	57911	Gsdma	gasdermin A
BC148684	100015673	with	57911	Gsdma	gasdermin A
BC148481	100015394	without	450219	Gsdma3	gasdermin A3
BC153077	100016377	with	450219	Gsdma3	gasdermin A3
BC141514	100014556	without	83492	Gsdmc	gasdermin C
BC156358	100061828	without	231044	Gbx1	gastrulation brain homeobox 1
BC141533	100014511	without	404194	Gfral	GDNF family receptor alpha like
BC153094	100016476	with	404194	Gfral	GDNF family receptor alpha like
BC167232	100068132	with	268527	Greb1	gene regulated by estrogen in breast cancer protein
BC165989	100066289	with	209239	Gan	giant axonal neuropathy
BC156914	100062699	with	209047	Gipc3	"GIPC PDZ domain containing family, member 3"
BC167213	100068113	with	243842	Gltscr1	glioma tumor suppressor candidate region gene 1
BC167165	100068065	with	226075	Glis3	GLIS family zinc finger 3
BC141558	100014526	without	14378	G6pc2	"glucose-6-phosphatase, catalytic, 2"
BC148698	100015702	with	14378	G6pc2	"glucose-6-phosphatase, catalytic, 2"
BC156764	100062276	with	76051	Ganc	"glucosidase, alpha; neutral C"
BC167177	100068077	with	14803	Grid1	"glutamate receptor, ionotropic, delta 1"
BC160298	100064042	with	14806	Grik2	"glutamate receptor, ionotropic, kainate 2 (beta 2)"
BC160379	100064123	with	14807	Grik3	"glutamate receptor, ionotropic, kainate 3"
BC146289	100015182	without	14811	Grin2a	"glutamate receptor, ionotropic, NMDA2A (epsilon 1)"
BC148800	100015901	with	14811	Grin2a	"glutamate receptor, ionotropic, NMDA2A (epsilon 1)"
BC152738	100015963	without	170483	Grin3b	"glutamate receptor, ionotropic, NMDA3B"
BC156787	100062279	with	622339	Gm6316	glyceraldehyde-3-phosphate dehydrogenase pseudogene
BC141498	100014758	without	624367	Gm6498	glyceraldehyde-3-phosphate dehydrogenase pseudogene
BC148778	100015837	with	624367	Gm6498	glyceraldehyde-3-phosphate dehydrogenase pseudogene
BC152918	100016180	without	14447	Gapdhs	"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
BC140461	100014459	without	110304	Glra3	"glycine receptor, alpha 3 subunit"
BC148711	100015658	with	110304	Glra3	"glycine receptor, alpha 3 subunit"
BC152757	100015942	without	606496	Gsk3a	glycogen synthase kinase 3 alpha
BC156581	100062043	with	606496	Gsk3a	glycogen synthase kinase 3 alpha
BC160220	100063868	with	14934	Gypa	glycophorin A
BC152792	100016030	without	14727	Gp49a	glycoprotein 49 A
BC156183	100061620	without	14729	Gp5	glycoprotein 5 (platelet)
BC156923	100063565	with	14729	Gp5	glycoprotein 5 (platelet)
BC148430	100015423	without	260302	Gga3	"golgi associated, gamma adaptin ear containing, ARF binding protein 3"
BC172626	100069434	without	54214	Golga4	"golgi autoantigen, golgin subfamily a, 4"
BC160213	100063861	with	14836	Gsc	goosecoid homeobox
BC165974	100066274	with	14941	Gzmd	granzyme D
BC141594	100014531	without	14942	Gzme	granzyme E
BC148577	100015538	without	14945	Gzmk	granzyme K
BC153151	100016451	with	14945	Gzmk	granzyme K
BC168389	100068358	with	57330	Gigyf1	GRB10 interacting GYF protein 1
BC160216	100063864	with	231413	Grsf1	G-rich RNA sequence binding factor 1
BC152721	100016020	without	14561	Gdf11	growth differentiation factor 11
BC156128	100062436	without	238057	Gdf7	growth differentiation factor 7
BC160313	100064057	with	14581	Gfi1	growth factor independent 1
BC172613	100069421	without	74558	Gvin1	"GTPase, very large interferon inducible 1"
BC172717	100069525	with	74558	Gvin1	"GTPase, very large interferon inducible 1"
BC156682	100062120	with	234889	Gucy1a2	"guanylate cyclase 1, soluble, alpha 2"
BC156143	100062450	without	73707	Gucy2g	guanylate cyclase 2g
BC160207	100063855	with	15371	Hmx1	H6 homeobox 1
BC141416	100014688	without	58240	Hs1bp3	HCLS1 binding protein 3
BC148679	100015684	with	58240	Hs1bp3	HCLS1 binding protein 3
BC172639	100069447	with	15111	Hand2	heart and neural crest derivatives expressed transcript 2
BC172632	100069440	without	217995	Heatr1	HEAT repeat containing 1
BC152841	100016049	without	15511	Hspa1b	heat shock protein 1B
BC156260	100061658	without	94253	Hecw1	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
BC156405	100061971	without	329152	Hecw2	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
BC141595	100014543	without	15202	Hemt1	hematopoietic cell transcript 1
BC152869	100016100	without	110257	Hba-a2	"hemoglobin alpha, adult chain 2"
BC156773	100062289	with	110257	Hba-a2	"hemoglobin alpha, adult chain 2"
BC152793	100015947	without	15129	Hbb-b1	"hemoglobin, beta adult major chain"
BC156762	100062252	with	15129	Hbb-b1	"hemoglobin, beta adult major chain"
BC156369	100062616	without	15139	Hc	hemolytic complement
BC152758	100015954	without	195646	Hs3st2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2
BC156582	100062055	with	195646	Hs3st2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2
BC160206	100063854	with	432467	Hnrnph3	heterogeneous nuclear ribonucleoprotein H3
BC152909	100016202	without	68693	Hnrnpul2	heterogeneous nuclear ribonucleoprotein U-like 2
BC140360	100014336	without	15212	Hexb	hexosaminidase B
BC146503	100015010	with	15212	Hexb	hexosaminidase B
BC140314	100014318	without	15465	Hrh1	histamine receptor H1
BC146472	100015038	with	15465	Hrh1	histamine receptor H1
BC165958	100066258	with	15466	Hrh2	histamine receptor H2
BC167249	100068149	with	15464	Hrc	histidine rich calcium binding protein
BC172638	100069446	with	14969	H2-Eb1	"histocompatibility 2, class II antigen E beta"
BC160234	100063882	with	224756	H2-M1	"histocompatibility 2, M region locus 1"
BC146459	100014988	with	110696	H2-M10.3	"histocompatibility 2, M region locus 10.3"
BC140374	100014400	without	110696	H2-M10.3	"histocompatibility 2, M region locus 10.3"
BC148572	100015478	without	224753	H2-M10.4	"histocompatibility 2, M region locus 10.4"
BC153149	100016498	with	224753	H2-M10.4	"histocompatibility 2, M region locus 10.4"
BC146431	100015116	without	224761	H2-M10.5	"histocompatibility 2, M region locus 10.5"
BC146442	100015165	without	399549	H2-M10.6	"histocompatibility 2, M region locus 10.6"
BC146408	100015101	without	14997	H2-M9	"histocompatibility 2, M region locus 9"
BC148850	100015909	with	14997	H2-M9	"histocompatibility 2, M region locus 9"
BC148635	100015618	without	110557	H2-Q6	"histocompatibility 2, Q region locus 6"
BC156754	100062215	with	110557	H2-Q6	"histocompatibility 2, Q region locus 6"
BC160245	100063893	with	15019	H2-Q8	"histocompatibility 2, Q region locus 8"
BC156693	100062181	with	15042	H2-T24	"histocompatibility 2, T region locus 24"
BC156807	100062523	with	15260	Hira	histone cell cycle regulation defective homolog A (S. cerevisiae)
BC140310	100014365	without	56702	Hist1h1b	"histone cluster 1, H1b"
BC146469	100015049	with	56702	Hist1h1b	"histone cluster 1, H1b"
BC146436	100015081	without	319172	Hist1h2ab	"histone cluster 1, H2ab"
BC153047	100016348	with	319172	Hist1h2ab	"histone cluster 1, H2ab"
BC160307	100064051	with	319180	Hist1h2bf	"histone cluster 1, H2bf"
BC160302	100064046	with	319150	Hist1h3b	"histone cluster 1, H3b"
BC160303	100064047	with	319149	Hist1h3d	"histone cluster 1, H3d"
BC156786	100062267	with	319151	Hist1h3e	"histone cluster 1, H3e"
BC146439	100015117	without	326620	Hist1h4b	"histone cluster 1, H4b"
BC153049	100016384	with	326620	Hist1h4b	"histone cluster 1, H4b"
BC152966	100016222	without	319156	Hist1h4d	"histone cluster 1, H4d"
BC156620	100062062	with	319156	Hist1h4d	"histone cluster 1, H4d"
BC148561	100015536	without	319157	Hist1h4f	"histone cluster 1, H4f"
BC156748	100062238	with	319157	Hist1h4f	"histone cluster 1, H4f"
BC152884	100016102	without	319159	Hist1h4j	"histone cluster 1, H4j"
BC156618	100062097	with	319159	Hist1h4j	"histone cluster 1, H4j"
BC160305	100064049	with	15267	Hist2h2aa1	"histone cluster 2, H2aa1"
BC156107	100062337	without	319154	Hist2h3b	"histone cluster 2, H3b"
BC156965	100063598	with	319154	Hist2h3b	"histone cluster 2, H3b"
BC152885	100016114	without	320332	Hist4h4	"histone cluster 4, H4"
BC172606	100069414	without	15410	Hoxb3	homeobox B3
BC140344	100014334	without	15415	Hoxb7	homeobox B7
BC160208	100063856	with	15422	Hoxc13	homeobox C13
BC152853	100016098	without	15426	Hoxc8	homeobox C8
BC166031	100066331	with	15433	Hoxd13	homeobox D13
BC156341	100061897	without	15437	Hoxd8	homeobox D8
BC172665	100069473	with	15437	Hoxd8	homeobox D8
BC148402	100015323	without	26557	Homer2	homer homolog 2 (Drosophila)
BC153023	100016307	with	26557	Homer2	homer homolog 2 (Drosophila)
BC148370	100015354	without	110521	Hivep1	human immunodeficiency virus type I enhancer binding protein 1
BC156925	100063554	with	110521	Hivep1	human immunodeficiency virus type I enhancer binding protein 1
BC172623	100069431	without	16656	Hivep3	human immunodeficiency virus type I enhancer binding protein 3
BC165962	100066262	with	15487	Hsd17b3	hydroxysteroid (17-beta) dehydrogenase 3
BC156149	100062487	without	15166	Hcn2	"hyperpolarization-activated, cyclic nucleotide-gated K+ 2"
BC168402	100068371	with	330953	Hcn4	"hyperpolarization-activated, cyclic nucleotide-gated K+ 4"
BC156828	100062503	with	16351	Ipp	IAP promoted placental gene
BC160215	100063863	with	15931	Ids	iduronate 2-sulfatase
BC148734	100015782	with	22780	Ikzf3	IKAROS family zinc finger 3
BC146283	100015205	without	22780	Ikzf3	IKAROS family zinc finger 3
BC160352	100064096	with	22781	Ikzf4	IKAROS family zinc finger 4
BC156108	100062349	without	210145	Irgc1	"immunity-related GTPase family, cinema 1"
BC156897	100062756	with	210145	Irgc1	"immunity-related GTPase family, cinema 1"
BC167242	100068142	with	20589	Ighmbp2	immunoglobulin mu binding protein 2
BC156227	100061591	without	56741	Igdcc4	"immunoglobulin superfamily, DCC subclass, member 4"
BC157001	100062874	with	56741	Igdcc4	"immunoglobulin superfamily, DCC subclass, member 4"
BC141510	100014508	without	233726	Ipo7	importin 7
BC156161	100062465	without	320727	Ipo8	importin 8
BC172657	100069465	with	320727	Ipo8	importin 8
BC160315	100064059	with	16324	Inhbb	inhibin beta-B
BC156378	100062629	without	15904	Id4	inhibitor of DNA binding 4
BC172675	100069483	with	15904	Id4	inhibitor of DNA binding 4
BC152847	100016121	without	26356	Ing1	"inhibitor of growth family, member 1"
BC166004	100066304	with	76614	Immt	"inner membrane protein, mitochondrial"
BC172648	100069456	with	16438	Itpr1	"inositol 1,4,5-trisphosphate receptor 1"
BC172640	100069448	with	16337	Insr	insulin receptor
BC156076	100062321	without	16367	Irs1	insulin receptor substrate 1
BC165972	100066272	with	104360	Isl2	insulin related protein 2 (islet 2)
BC167237	100068137	with	109700	Itga1	integrin alpha 1
BC152747	100015988	without	16404	Itga7	integrin alpha 7
BC156094	100062371	without	16409	Itgam	integrin alpha M
BC156991	100062789	with	16409	Itgam	integrin alpha M
BC167182	100068082	with	16410	Itgav	integrin alpha V
BC167225	100068125	with	16411	Itgax	integrin alpha X
BC148415	100015409	without	381924	Itgad	"integrin, alpha D"
BC148569	100015537	without	320495	Ipcef1	interaction protein for cytohesin exchange factors 1
BC153147	100016462	with	320495	Ipcef1	interaction protein for cytohesin exchange factors 1
BC140285	100014230	without	15962	Ifna1	interferon alpha 1
BC141650	100014675	with	15962	Ifna1	interferon alpha 1
BC141454	100014776	without	15965	Ifna2	interferon alpha 2
BC148713	100015694	with	15965	Ifna2	interferon alpha 2
BC160330	100064074	with	15969	Ifna6	interferon alpha 6
BC160276	100063924	with	27056	Irf5	interferon regulatory factor 5
BC160242	100063890	with	319146	Ifnz	interferon zeta
BC140355	100014371	without	16154	Il10ra	"interleukin 10 receptor, alpha"
BC146496	100015068	with	16154	Il10ra	"interleukin 10 receptor, alpha"
BC141596	100014555	without	16159	Il12a	interleukin 12a
BC146595	100014842	with	16159	Il12a	interleukin 12a
BC152854	100016110	without	16163	Il13	interleukin 13
BC146306	100015208	without	16172	Il17ra	interleukin 17 receptor A
BC156651	100062151	with	16172	Il17ra	interleukin 17 receptor A
BC152929	100016134	without	171463	Il17rd	interleukin 17 receptor D
BC160214	100063862	with	239114	Il17d	interleukin 17D
BC160259	100063907	with	257630	Il17f	interleukin 17F
BC140273	100014240	without	338374	Il28b	interleukin 28B
BC141644	100014638	with	338374	Il28b	interleukin 28B
BC156083	100062310	without	16188	Il3ra	"interleukin 3 receptor, alpha chain"
BC172655	100069463	with	16188	Il3ra	"interleukin 3 receptor, alpha chain"
BC148583	100015515	without	16194	Il6ra	"interleukin 6 receptor, alpha"
BC140269	100014287	without	16198	Il9	interleukin 9
BC141641	100014673	with	16198	Il9	interleukin 9
BC172688	100069496	with	16443	Itsn1	intersectin 1 (SH3 domain protein 1A)
BC160201	100063849	with	16447	Ivl	involucrin
BC148474	100015393	without	245666	Iqsec2	IQ motif and Sec7 domain 2
BC153107	100016467	with	245666	Iqsec2	IQ motif and Sec7 domain 2
BC168388	100068357	with	243621	Iqsec3	IQ motif and Sec7 domain 3
BC172704	100069512	with	404710	Iqgap3	IQ motif containing GTPase activating protein 3
BC148652	100015632	without	16371	Irx1	Iroquois related homeobox 1 (Drosophila)
BC152920	100016204	without	73456	Izumo1	izumo sperm-egg fusion 1
BC167222	100068122	with	16450	Jag2	jagged 2
BC166010	100066310	with	16469	Jrk	jerky
BC156699	100062158	with	71912	Jsrp1	junctional sarcoplasmic reticulum protein 1
BC141430	100014761	without	16538	Kcns1	"K+ voltage-gated channel, subfamily S, 1"
BC160255	100063903	with	56538	Klk11	kallikrein related-peptidase 11
BC152778	100015957	without	626834	Klk13	kallikrein related-peptidase 13
BC156599	100062023	with	626834	Klk13	kallikrein related-peptidase 13
BC152823	100016118	without	68304	Kdelc2	KDEL (Lys-Asp-Glu-Leu) containing 2
BC172685	100069493	with	16661	Krt10	keratin 10
BC160314	100064058	with	16660	Krt31	keratin 31
BC141597	100014567	without	16673	Krt36	keratin 36
BC165963	100066263	with	237934	Krt39	keratin 39
BC165973	100066273	with	68239	Krt42	keratin 42
BC156168	100062466	without	105866	Krt72-ps	"keratin 72, pseudogene"
BC157004	100062839	with	105866	Krt72-ps	"keratin 72, pseudogene"
BC160264	100063912	with	406222	Krt74	keratin 74
BC152922	100016133	without	53622	Krt85	keratin 85
BC168409	100068378	with	107656	Krt9	keratin 9
BC160310	100064054	with	170657	Krtap16-2	keratin associated protein 16-2
BC156156	100062488	without	68484	Krtap16-8	keratin associated protein 16-8
BC156899	100062780	with	68484	Krtap16-8	keratin associated protein 16-8
BC160372	100064116	with	66708	Krtap3-2	keratin associated protein 3-2
